City,TimeZoneName,WindowsTimeZoneId,Lat,Lon,Notes
Eureka,America/Los_Angeles,Pacific Standard Time,40.8018746,-124.1707558,
Fairbanks,America/Anchorage,Alaskan Standard Time,64.837845,-147.716675,
Fakaofo,Pacific/Fakaofo,UTC+13,-9.3735594,-171.2414826,
Fortaleza,America/Fortaleza,SA Eastern Standard Time,-3.7304512,-38.5217989,
Frankfurt,Europe/Berlin,W. Europe Standard Time,50.1106444,8.6820917,
Freetown,Africa/Freetown,Greenwich Standard Time,8.479004,-13.26795,
Funafuti,Pacific/Funafuti,UTC+12,-8.5199633,179.1982548,
Gaborone,Africa/Gaborone,South Africa Standard Time,-24.6581357,25.9088474,
Galapagos Islands,Pacific/Galapagos,Central America Standard Time,-0.6288151,-90.3638752,
Georgetown,America/Guyana,SA Western Standard Time,6.8137426,-58.1624465,Override applied
Gibraltar,Europe/Gibraltar,W. Europe Standard Time,36.1285933,-5.3474761,
Gitega,Africa/Bujumbura,South Africa Standard Time,-3.4284953,29.9249718,
Grise Fiord,America/Iqaluit,Eastern Standard Time,76.418772,-82.9015251,
Guatemala City,America/Guatemala,Central America Standard Time,14.6416142,-90.5132836,
Hagåtña,Pacific/Guam,West Pacific Standard Time,13.4738606,144.7520557,Override applied
Halifax,America/Halifax,Atlantic Standard Time,44.648618,-63.5859487,
Hamilton,Atlantic/Bermuda,Atlantic Standard Time,32.2942679,-64.7853167,Override applied
Hanoi,Asia/Bangkok,SE Asia Standard Time,21.0283334,105.854041,
Happy Valley-Goose Bay,America/Goose_Bay,Atlantic Standard Time,53.2964352,-60.3111895,Override applied
Harare,Africa/Harare,South Africa Standard Time,-17.8567035,31.0601584,
Havana,America/Havana,Cuba Standard Time,23.135305,-82.3589631,
Helsinki,Europe/Helsinki,FLE Standard Time,60.1674881,24.9427473,
Hermosillo,America/Hermosillo,US Mountain Standard Time,29.0948207,-110.9692202,
Hobart,Australia/Hobart,Tasmania Standard Time,-42.8825088,147.3281233,
Hong Kong,Asia/Hong_Kong,China Standard Time,22.350627,114.1849161,
Honiara,Pacific/Guadalcanal,Central Pacific Standard Time,-9.4310769,159.9552552,
Honolulu,Pacific/Honolulu,Hawaiian Standard Time,21.304547,-157.855676,
Houston,America/Chicago,Central Standard Time,29.7589382,-95.3676974,
Hovd,Asia/Hovd,W. Mongolia Standard Time,46.8997977,92.2959651,
Indianapolis,America/Indiana/Indianapolis,US Eastern Standard Time,39.7683331,-86.1583502,
Inuvik,America/Inuvik,Mountain Standard Time,68.3602632,-133.720386,
Irkutsk,Asia/Irkutsk,North Asia East Standard Time,52.2891225,104.279829,
Islamabad,Asia/Karachi,Pakistan Standard Time,33.6938118,73.0651511,
Istanbul,Europe/Istanbul,Turkey Standard Time,41.006381,28.9758715,
Ittoqqortoormiit,America/Scoresbysund,Azores Standard Time,70.4856214,-21.961726,Override applied
Izhevsk,Europe/Samara,Russia Time Zone 3,56.866557,53.2094166,
Jakarta,Asia/Jakarta,SE Asia Standard Time,-6.1754049,106.827168,
Jamestown,America/New_York,Eastern Standard Time,37.2089184,-76.7783003,
Jerusalem,Asia/Jerusalem,Israel Standard Time,31.7788472,35.2257856,
Johannesburg,Africa/Johannesburg,South Africa Standard Time,-26.205,28.049722,
Juba,Africa/Juba,South Sudan Standard Time,4.8459246,31.5959173,
Juneau,America/Juneau,Alaskan Standard Time,58.3019613,-134.4196751,
Kabul,Asia/Kabul,Afghanistan Standard Time,34.5266431,69.1849082,
Kaliningrad,Europe/Kaliningrad,Kaliningrad Standard Time,54.7046485,20.4565666,
Kampala,Africa/Kampala,E. Africa Standard Time,0.3177137,32.5813539,
Kangerlussuaq,America/Nuuk,Greenland Standard Time,67.0086767,-50.6913356,Override applied
Kansas City,America/Chicago,Central Standard Time,39.100105,-94.5781416,
Karachi,Asia/Karachi,Pakistan Standard Time,24.8546842,67.0207055,
Kathmandu,Asia/Kathmandu,Nepal Standard Time,27.708317,85.3205817,
Kemi,Europe/Helsinki,FLE Standard Time,65.7333404,24.5666495,
Khartoum,Africa/Khartoum,Sudan Standard Time,15.5038301,32.5738979,
Khatanga,Asia/Krasnoyarsk,North Asia Standard Time,72.5720585,104.2904408,
Kigali,Africa/Kigali,South Africa Standard Time,-1.8859597,30.1296751,
King Edward Point,Atlantic/South_Georgia,UTC-02,-54.283545,-36.4946355,Override applied
Kingston,America/Jamaica,SA Pacific Standard Time,17.9712148,-76.7928128,
Kinshasa,Africa/Kinshasa,W. Central Africa Standard Time,-4.3196982,15.3424196,
Kiritimati,Pacific/Kiritimati,Line Islands Standard Time,1.872,-157.3842085,Override applied
Kolkata,Asia/Kolkata,India Standard Time,22.5726459,88.3638953,
Komsomolsk-on-Amur,Asia/Vladivostok,Vladivostok Standard Time,50.561797,136.9995057,
Krasnoyarsk,Asia/Krasnoyarsk,North Asia Standard Time,56.0091173,92.872586,
Kuala Lumpur,Asia/Kuala_Lumpur,Singapore Standard Time,3.1526589,101.7022205,
Kuujjuaq,America/Toronto,Eastern Standard Time,58.1066864,-68.4038778,
Kuwait City,Asia/Kuwait,Arab Standard Time,29.3796532,47.9734174,
Kyiv,Europe/Kyiv,FLE Standard Time,50.4500336,30.5241361,
La Paz,America/La_Paz,SA Western Standard Time,-16.4955455,-68.1336229,
Lagos,Africa/Lagos,W. Central Africa Standard Time,6.4550575,3.3941795,
Lahore,Asia/Karachi,Pakistan Standard Time,31.5656822,74.3141829,
Las Vegas,America/Los_Angeles,Pacific Standard Time,36.1674263,-115.1484131,
Lhasa,Asia/Shanghai,China Standard Time,29.6542054,91.1173015,
Libreville,Africa/Libreville,W. Central Africa Standard Time,0.4086518,9.4418849,
Lilongwe,Africa/Blantyre,South Africa Standard Time,-13.9875107,33.768144,
Lima,America/Lima,SA Pacific Standard Time,-12.0621065,-77.0365256,
Lisbon,Europe/Lisbon,GMT Standard Time,38.7077507,-9.1365919,
Ljubljana,Europe/Ljubljana,Central Europe Standard Time,46.0500268,14.5069289,
